bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.25,0.25,ALL,ols_std,N,-0.009111655974131886,0.03120834331954315,10
development,0.25,0.25,ALL,ols_std,N_long_C1,-0.02472032925320291,0.01469099297933806,10
development,0.25,0.25,ALL,ridge,M,0.14633905276723316,0.02053470809261908,10
development,0.25,0.25,ALL,ridge,N,0.0034647111491557707,0.013464869001246748,10
development,0.25,0.25,ALL,ridge,N_long_C1,-0.013413028321715665,0.01191643112032749,10
development,0.25,0.25,CLS,ols_std,M,0.0066020765498062016,0.006878959348756265,10
development,0.25,0.25,CLS,ols_std,N,-0.0036069629727401263,0.017222785039452567,10
development,0.25,0.25,CLS,ols_std,N_long_C1,-0.0062020839579268764,0.007485468779715392,10
development,0.25,0.25,CLS,ridge,M,0.0064317379313641315,0.006318842799866699,10
development,0.25,0.25,CLS,ridge,N,-0.001040156834264516,0.013342924080103865,10
development,0.25,0.25,CLS,ridge,N_long_C1,-0.0007752272798187651,0.004897058102621313,10
development,0.25,0.25,J,ols_raw,M,0.006602076549807781,0.006878959348756651,10
development,0.25,0.25,J,ols_raw,N,-0.00360696297269542,0.01722278503943636,10
development,0.25,0.25,J,ols_raw,N_long_C1,-0.006202083957932024,0.0074854687797221865,10
development,0.25,0.25,J,ols_std,M,0.0066020765498062016,0.006878959348756265,10
development,0.25,0.25,J,ols_std,N,-0.0036069629727401263,0.017222785039452567,10
development,0.25,0.25,J,ols_std,N_long_C1,-0.0062020839579268764,0.007485468779715392,10
development,0.25,0.25,J,ridge,M,0.0064317379313641315,0.006318842799866699,10
development,0.25,0.25,J,ridge,N,-0.001040156834264516,0.013342924080103865,10
development,0.25,0.25,J,ridge,N_long_C1,-0.0007752272798187651,0.004897058102621313,10
development,0.25,0.25,P,ols_raw,M,-0.004722324084629313,0.004162773556564006,10
development,0.25,0.25,P,ols_raw,N,0.02277104382574698,0.014286429145768963,10
development,0.25,0.25,P,ols_raw,N_long_C1,-0.004959572278299368,0.001821927057514716,10
development,0.25,0.25,P,ols_std,M,-0.004722324084629326,0.004162773556564006,10
development,0.25,0.25,P,ols_std,N,0.022771043825746955,0.014286429145768945,10
development,0.25,0.25,P,ols_std,N_long_C1,-0.004959572278299374,0.0018219270575147114,10
development,0.25,0.25,P,ridge,M,-0.004721259995796025,0.004162322972074272,10
development,0.25,0.25,P,ridge,N,0.02277081762054547,0.014280190829124337,10
development,0.25,0.25,P,ridge,N_long_C1,-0.004957719456435011,0.0018212748417601368,10
development,0.25,0.25,R,ols_raw,M,0.20608863164619007,0.02146123326144615,10
development,0.25,0.25,R,ols_raw,N,-0.015379123074777961,0.012652454840553317,10
development,0.25,0.25,R,ols_raw,N_long_C1,-0.014207233143118453,0.0057953907510766576,10
development,0.25,0.25,R,ols_std,M,0.2060886316461276,0.02146123326145764,10
development,0.25,0.25,R,ols_std,N,-0.015379123074768236,0.012652454840549531,10
development,0.25,0.25,R,ols_std,N_long_C1,-0.014207233143124684,0.005795390751089641,10
development,0.25,0.25,R,ridge,M,0.1529195203514323,0.019376071842888108,10
development,0.25,0.25,R,ridge,N,-0.010359390588010631,0.009099195624807403,10
development,0.25,0.25,R,ridge,N_long_C1,-0.00938322297389812,0.004820839509470551,10
development,0.25,0.5,ALL,ols_std,M,0.19495796416972305,0.022607007818617006,10
development,0.25,0.5,ALL,ols_std,N,0.06456388893702261,0.022402283304836717,10
development,0.25,0.5,ALL,ols_std,N_long_C1,-0.0011160789308687312,0.01656697205727527,10
development,0.25,0.5,ALL,ridge,M,0.14633131144882341,0.020614897581592455,10
development,0.25,0.5,ALL,ridge,N,0.07387084092246596,0.012184139159794249,10
development,0.25,0.5,ALL,ridge,N_long_C1,0.003685669714073684,0.0122655445634164,10
development,0.25,0.5,CLS,ols_std,M,0.04142853567849743,0.007761701180259021,10
development,0.25,0.5,CLS,ols_std,N,0.009498864143443232,0.021388803125857187,10
development,0.25,0.5,CLS,ols_std,N_long_C1,0.00772982664214644,0.008085309990032126,10
development,0.25,0.5,CLS,ridge,M,0.031170588676452726,0.006532081492779411,10
development,0.25,0.5,CLS,ridge,N,0.010330583192626744,0.019301224724080624,10
development,0.25,0.5,CLS,ridge,N_long_C1,0.009532161708261428,0.005578861055397702,10
development,0.25,0.5,J,ols_raw,M,0.041428535678485964,0.007761701180264284,10
development,0.25,0.5,J,ols_raw,N,0.009498864143403207,0.021388803125855827,10
development,0.25,0.5,J,ols_raw,N_long_C1,0.007729826642155847,0.008085309990030692,10
development,0.25,0.5,J,ols_std,M,0.04142853567849743,0.007761701180259021,10
development,0.25,0.5,J,ols_std,N,0.009498864143443232,0.021388803125857187,10
development,0.25,0.5,J,ols_std,N_long_C1,0.00772982664214644,0.008085309990032126,10
development,0.25,0.5,J,ridge,M,0.031170588676452726,0.006532081492779411,10
development,0.25,0.5,J,ridge,N,0.010330583192626744,0.019301224724080624,10
development,0.25,0.5,J,ridge,N_long_C1,0.009532161708261428,0.005578861055397702,10
development,0.25,0.5,P,ols_raw,M,-0.0048384820996672465,0.004045200203835189,10
development,0.25,0.5,P,ols_raw,N,0.09081115325033143,0.01872951806718308,10
development,0.25,0.5,P,ols_raw,N_long_C1,-0.004753004693014248,0.0018643923242494132,10
development,0.25,0.5,P,ols_std,M,-0.0048384820996672405,0.004045200203835189,10
development,0.25,0.5,P,ols_std,N,0.09081115325033143,0.018729518067183086,10
development,0.25,0.5,P,ols_std,N_long_C1,-0.0047530046930142605,0.0018643923242494323,10
development,0.25,0.5,P,ridge,M,-0.004837358777608812,0.004044782812144974,10
development,0.25,0.5,P,ridge,N,0.09081055089371526,0.018724192547960358,10
development,0.25,0.5,P,ridge,N_long_C1,-0.004751257327145696,0.0018636851895413905,10
development,0.25,0.5,R,ols_raw,M,0.20608863164619007,0.02146123326144615,10
development,0.25,0.5,R,ols_raw,N,-0.015379123074777961,0.012652454840553317,10
development,0.25,0.5,R,ols_raw,N_long_C1,-0.014207233143118453,0.0057953907510766576,10
development,0.25,0.5,R,ols_std,M,0.2060886316461276,0.02146123326145764,10
development,0.25,0.5,R,ols_std,N,-0.015379123074768236,0.012652454840549531,10
development,0.25,0.5,R,ols_std,N_long_C1,-0.014207233143124684,0.005795390751089641,10
development,0.25,0.5,R,ridge,M,0.1529195203514323,0.019376071842888108,10
development,0.25,0.5,R,ridge,N,-0.010359390588010631,0.009099195624807403,10
development,0.25,0.5,R,ridge,N_long_C1,-0.00938322297389812,0.004820839509470551,10
development,0.25,0.75,ALL,ols_std,M,0.19478816823072223,0.023605932237019987,10
development,0.25,0.75,ALL,ols_std,N,0.16007638793100812,0.01905431309671376,10
