bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,20000,30000,0.25,0.5,R,ols_raw,0.29856882884790276,0.3004464012850304,-0.004201703991761896,0.0,-0.015686351693423205,-0.007759638256832614,0.019671311779200524,-0.01171010521625225,-0.021723704857566584,0.010378798334742239,0.013157894736842105,11
development,20000,30000,0.25,0.5,P,ridge,-0.002714733995289336,0.0007858392283303413,0.820931253768415,0.820931253768415,-0.00782792522655551,-0.004118168831033535,-0.0067747437818589384,-0.008050652077727111,-0.0061814340191409895,0.005023290777215817,0.008771929824561403,12
development,20000,30000,0.25,0.5,P,ols_std,-0.0029708432853670246,0.000980514316223226,1.0,1.0,-0.009099633910641327,-0.005147739044787676,-0.008679470114562216,-0.00920769221214257,-0.005836210955441827,0.004162140887733981,0.017543859649122806,12
development,20000,30000,0.25,0.5,P,ols_raw,-0.0029708432853670246,0.0009805143162232577,1.0,1.0,-0.009099633910641355,-0.005147739044787714,-0.008679470114562262,-0.009207692212142573,-0.005836210955441882,0.004162140887733759,0.017543859649122806,12
development,20000,30000,0.25,0.5,J,ridge,0.0004935013978755018,0.00602826799779158,0.9982654099653753,0.9982654099653753,-0.016300767905458518,-0.006125688708194581,-0.009467213221588472,-0.010945309273812228,-0.0143959277691564,0.003984197926339756,0.017543859649122806,72
development,20000,30000,0.25,0.5,J,ols_std,0.2720432530882426,0.2890678123156687,0.9999999942524518,0.9999999942524518,0.20795783464088632,-0.03066681368822526,0.003488464424072583,-0.04545850330138858,0.4809331740748051,-0.001312486063413238,0.02631578947368421,72
development,20000,30000,0.25,0.5,J,ols_raw,0.2720432530940844,0.2890678123202529,0.9999999942524518,0.9999999942524518,0.20795783465511394,-0.030666813688202427,0.003488464425754107,-0.04545850330182217,0.4809331740815348,-0.0013124860689783932,0.02631578947368421,72
development,20000,30000,0.25,0.5,ALL,ridge,0.13676429897003436,0.14137392288246234,0.9987657313621567,0.9987657313621567,-0.018463297239536474,-0.008495570607200542,-0.011349799702618957,-0.012224803257463791,-0.016971016122221443,0.004000973394157739,0.021929824561403508,95
development,20000,30000,0.25,0.5,ALL,ols_std,0.5240824557877434,0.5453880342394055,1.0,1.0,0.34323402261059793,-0.042609939433678835,0.02160611882367966,-0.057951805348254594,0.7639242331872239,-0.00722109121323252,0.05263157894736842,95
development,20000,30000,0.25,0.5,CLS,ridge,0.004833317778974777,0.010689433268330526,0.9994429449209724,0.9994429449209724,-0.017346669839029633,-0.006528952676648658,-0.00999871094015613,-0.011348974430399247,-0.01479017735458075,0.0038427848322270955,0.021929824561403508,132
development,20000,30000,0.25,0.5,CLS,ols_std,0.28549723487121215,0.30252452336439334,0.9999999947303749,0.9999999947303749,0.2202177581102007,-0.03230130563224171,0.00383920160533509,-0.046487016182998,0.511916539152213,-0.0022983661917007196,0.02631578947368421,132
development,20000,30000,0.25,0.75,R,ridge,0.14181997274424346,0.14299043678381246,0.00014801732621805286,0.00046374488379519185,-0.010086645860408508,-0.0040939005923308625,-0.006076414729309991,-0.007270260011510162,-0.012768045413641219,0.006004719764939755,0.008771929824561403,11
development,20000,30000,0.25,0.75,R,ols_std,0.2985688288479028,0.3004464012850318,-0.004201703991762118,0.0,-0.015686351693422345,-0.00775963825683261,0.01967131177920049,-0.011710105216252858,-0.021723704857565213,0.010378798334743318,0.013157894736842105,11
